link
http://tai2.ntu.edu.tw/PlantInfo/species-name.php?code=440 001 03 0
http://tai2.ntu.edu.tw/PlantInfo/species-name.php?code=440 002 05 0
""
""
http://tai2.ntu.edu.tw/PlantInfo/species-name.php?code=440 002 01 0
http://tai2.ntu.edu.tw/PlantInfo/species-name.php?code=409 001 01 0
""
http://tai2.ntu.edu.tw/PlantInfo/species-name.php?code=207 001 02 0
no_result
""
no_result
no_result
http://tai2.ntu.edu.tw/PlantInfo/species-name.php?code=534 001 02 1
http://tai2.ntu.edu.tw/PlantInfo/species-name.php?code=534 001 02 1
""
